AL,6625
AK,6591
AZ,5596
AR,6597
CA,6611
CO,5605
CT,6587
DE,6636
DC,6644
FL,5544
GA,5604
HI,6631
ID,6623
IL,6613
IN,6572
IA,5603
KS,6627
KY,6592
LA,6617
ME,6571
