"party","price","state","time"
"R",92,"AL",2020-07-09 10:52:15
"D",10,"AL",2020-07-09 10:52:15
"R",74,"AK",2020-07-09 10:52:17
"D",33,"AK",2020-07-09 10:52:17
"D",64,"AZ",2020-07-09 10:52:19
"R",37,"AZ",2020-07-09 10:52:19
"R",92,"AR",2020-07-09 10:52:21
"D",10,"AR",2020-07-09 10:52:21
"D",96,"CA",2020-07-09 10:52:23
"R",6,"CA",2020-07-09 10:52:23
"D",91,"CO",2020-07-09 10:52:24
"R",10,"CO",2020-07-09 10:52:24
"D",93,"CT",2020-07-09 10:52:26
"R",6,"CT",2020-07-09 10:52:26
"D",95,"DE",2020-07-09 10:52:28
"R",5,"DE",2020-07-09 10:52:28
"D",99,"DC",2020-07-09 10:52:30
"R",2,"DC",2020-07-09 10:52:30
"D",60,"FL",2020-07-09 10:52:32
"R",41,"FL",2020-07-09 10:52:32
"R",55,"GA",2020-07-09 10:52:33
"D",46,"GA",2020-07-09 10:52:33
"D",98,"HI",2020-07-09 10:52:35
"R",3,"HI",2020-07-09 10:52:35
"R",94,"ID",2020-07-09 10:52:37
"D",8,"ID",2020-07-09 10:52:37
"D",96,"IL",2020-07-09 10:52:39
"R",5,"IL",2020-07-09 10:52:39
"R",86,"IN",2020-07-09 10:52:41
"D",17,"IN",2020-07-09 10:52:41
"R",58,"IA",2020-07-09 10:52:42
"D",43,"IA",2020-07-09 10:52:42
"R",85,"KS",2020-07-09 10:52:44
"D",15,"KS",2020-07-09 10:52:44
"R",91,"KY",2020-07-09 10:52:46
"D",10,"KY",2020-07-09 10:52:46
"R",89,"LA",2020-07-09 10:52:48
"D",11,"LA",2020-07-09 10:52:48
"D",87,"ME",2020-07-09 10:52:50
"R",16,"ME",2020-07-09 10:52:50
"D",96,"ME-01",2020-07-09 10:52:51
"R",6,"ME-01",2020-07-09 10:52:51
"R",64,"ME-02",2020-07-09 10:52:53
"D",37,"ME-02",2020-07-09 10:52:53
"D",95,"MD",2020-07-09 10:52:55
"R",5,"MD",2020-07-09 10:52:55
"D",94,"MA",2020-07-09 10:52:57
"R",5,"MA",2020-07-09 10:52:57
"D",75,"MI",2020-07-09 10:52:59
"R",26,"MI",2020-07-09 10:52:59
"D",81,"MN",2020-07-09 10:53:23
"R",21,"MN",2020-07-09 10:53:23
"R",90,"MS",2020-07-09 10:53:25
"D",11,"MS",2020-07-09 10:53:25
"R",81,"MO",2020-07-09 10:53:27
"D",20,"MO",2020-07-09 10:53:27
"R",85,"MT",2020-07-09 10:53:30
"D",16,"MT",2020-07-09 10:53:30
"R",94,"NE",2020-07-09 10:53:31
"D",9,"NE",2020-07-09 10:53:31
"R",95,"NE-01",2020-07-09 10:53:34
"D",7,"NE-01",2020-07-09 10:53:34
"D",71,"NE-02",2020-07-09 10:53:36
"R",31,"NE-02",2020-07-09 10:53:36
"R",97,"NE-03",2020-07-09 10:53:38
"D",4,"NE-03",2020-07-09 10:53:38
"D",85,"NV",2020-07-09 10:53:39
"R",17,"NV",2020-07-09 10:53:39
"D",77,"NH",2020-07-09 10:53:41
"R",25,"NH",2020-07-09 10:53:41
"D",94,"NJ",2020-07-09 10:53:43
"R",6,"NJ",2020-07-09 10:53:43
"D",93,"NM",2020-07-09 10:53:45
"R",9,"NM",2020-07-09 10:53:45
"D",97,"NY",2020-07-09 10:53:47
"R",5,"NY",2020-07-09 10:53:47
"D",58,"NC",2020-07-09 10:53:50
"R",43,"NC",2020-07-09 10:53:50
"R",95,"ND",2020-07-09 10:53:52
"D",8,"ND",2020-07-09 10:53:52
"R",58,"OH",2020-07-09 10:53:54
"D",43,"OH",2020-07-09 10:53:54
"R",93,"OK",2020-07-09 10:53:55
"D",7,"OK",2020-07-09 10:53:55
"D",95,"OR",2020-07-09 10:53:57
"R",6,"OR",2020-07-09 10:53:57
"D",72,"PA",2020-07-09 10:53:59
"R",32,"PA",2020-07-09 10:53:59
"D",96,"RI",2020-07-09 10:54:01
"R",5,"RI",2020-07-09 10:54:01
"R",83,"SC",2020-07-09 10:54:03
"D",17,"SC",2020-07-09 10:54:03
"R",93,"SD",2020-07-09 10:54:04
"D",10,"SD",2020-07-09 10:54:04
"R",92,"TN",2020-07-09 10:54:06
"D",8,"TN",2020-07-09 10:54:06
"R",66,"TX",2020-07-09 10:54:24
"D",35,"TX",2020-07-09 10:54:24
"R",88,"UT",2020-07-09 10:54:27
"D",13,"UT",2020-07-09 10:54:27
"D",97,"VT",2020-07-09 10:54:29
"R",4,"VT",2020-07-09 10:54:29
"D",90,"VA",2020-07-09 10:54:31
"R",10,"VA",2020-07-09 10:54:31
"D",95,"WA",2020-07-09 10:54:32
"R",6,"WA",2020-07-09 10:54:32
"R",94,"WV",2020-07-09 10:54:34
"D",7,"WV",2020-07-09 10:54:34
"D",70,"WI",2020-07-09 10:54:36
"R",33,"WI",2020-07-09 10:54:36
"R",95,"WY",2020-07-09 10:54:38
"D",8,"WY",2020-07-09 10:54:38
"D",63,"USA",2020-07-09 10:54:40
"R",41,"USA",2020-07-09 10:54:40
"G",2,"USA",2020-07-09 10:54:40
"L",1,"USA",2020-07-09 10:54:40
