"party","price","state","time"
"R",92,"AL",2020-07-08 10:21:26
"D",9,"AL",2020-07-08 10:21:26
"R",82,"AK",2020-07-08 10:21:28
"D",19,"AK",2020-07-08 10:21:28
"D",63,"AZ",2020-07-08 10:21:30
"R",39,"AZ",2020-07-08 10:21:30
"R",92,"AR",2020-07-08 10:21:32
"D",8,"AR",2020-07-08 10:21:32
"D",96,"CA",2020-07-08 10:21:34
"R",6,"CA",2020-07-08 10:21:34
"D",91,"CO",2020-07-08 10:21:36
"R",10,"CO",2020-07-08 10:21:36
"D",94,"CT",2020-07-08 10:21:38
"R",7,"CT",2020-07-08 10:21:38
"D",96,"DE",2020-07-08 10:21:40
"R",4,"DE",2020-07-08 10:21:40
"D",98,"DC",2020-07-08 10:21:41
"R",2,"DC",2020-07-08 10:21:41
"D",60,"FL",2020-07-08 10:21:43
"R",41,"FL",2020-07-08 10:21:43
"R",55,"GA",2020-07-08 10:21:45
"D",47,"GA",2020-07-08 10:21:45
"D",97,"HI",2020-07-08 10:21:47
"R",5,"HI",2020-07-08 10:21:47
"R",92,"ID",2020-07-08 10:21:49
"D",10,"ID",2020-07-08 10:21:49
"D",96,"IL",2020-07-08 10:21:51
"R",4,"IL",2020-07-08 10:21:51
"R",83,"IN",2020-07-08 10:21:52
"D",18,"IN",2020-07-08 10:21:52
"R",60,"IA",2020-07-08 10:21:54
"D",44,"IA",2020-07-08 10:21:54
"R",86,"KS",2020-07-08 10:21:56
"D",14,"KS",2020-07-08 10:21:56
"R",90,"KY",2020-07-08 10:21:58
"D",10,"KY",2020-07-08 10:21:58
"R",89,"LA",2020-07-08 10:22:00
"D",12,"LA",2020-07-08 10:22:00
"D",85,"ME",2020-07-08 10:22:02
"R",13,"ME",2020-07-08 10:22:02
"D",95,"ME-01",2020-07-08 10:22:04
"R",5,"ME-01",2020-07-08 10:22:04
"R",64,"ME-02",2020-07-08 10:22:06
"D",37,"ME-02",2020-07-08 10:22:06
"D",95,"MD",2020-07-08 10:22:08
"R",5,"MD",2020-07-08 10:22:08
"D",95,"MA",2020-07-08 10:22:10
"R",5,"MA",2020-07-08 10:22:10
"D",75,"MI",2020-07-08 10:22:12
"R",27,"MI",2020-07-08 10:22:12
"D",82,"MN",2020-07-08 10:22:30
"R",21,"MN",2020-07-08 10:22:30
"R",89,"MS",2020-07-08 10:22:32
"D",10,"MS",2020-07-08 10:22:32
"R",82,"MO",2020-07-08 10:22:34
"D",19,"MO",2020-07-08 10:22:34
"R",84,"MT",2020-07-08 10:22:36
"D",17,"MT",2020-07-08 10:22:36
"R",93,"NE",2020-07-08 10:22:38
"D",7,"NE",2020-07-08 10:22:38
"R",95,"NE-01",2020-07-08 10:22:40
"D",7,"NE-01",2020-07-08 10:22:40
"D",69,"NE-02",2020-07-08 10:22:42
"R",31,"NE-02",2020-07-08 10:22:42
"R",97,"NE-03",2020-07-08 10:22:44
"D",4,"NE-03",2020-07-08 10:22:44
"D",83,"NV",2020-07-08 10:22:46
"R",16,"NV",2020-07-08 10:22:46
"D",76,"NH",2020-07-08 10:22:48
"R",23,"NH",2020-07-08 10:22:48
"D",94,"NJ",2020-07-08 10:22:50
"R",6,"NJ",2020-07-08 10:22:50
"D",93,"NM",2020-07-08 10:22:52
"R",7,"NM",2020-07-08 10:22:52
"D",96,"NY",2020-07-08 10:22:55
"R",4,"NY",2020-07-08 10:22:55
"D",59,"NC",2020-07-08 10:22:57
"R",43,"NC",2020-07-08 10:22:57
"R",94,"ND",2020-07-08 10:22:58
"D",7,"ND",2020-07-08 10:22:58
"R",56,"OH",2020-07-08 10:23:00
"D",45,"OH",2020-07-08 10:23:00
"R",93,"OK",2020-07-08 10:23:02
"D",8,"OK",2020-07-08 10:23:02
"D",95,"OR",2020-07-08 10:23:04
"R",6,"OR",2020-07-08 10:23:04
"D",70,"PA",2020-07-08 10:23:06
"R",32,"PA",2020-07-08 10:23:06
"D",96,"RI",2020-07-08 10:23:07
"R",5,"RI",2020-07-08 10:23:07
"R",83,"SC",2020-07-08 10:23:09
"D",18,"SC",2020-07-08 10:23:09
"R",92,"SD",2020-07-08 10:23:11
"D",8,"SD",2020-07-08 10:23:11
"R",93,"TN",2020-07-08 10:23:12
"D",8,"TN",2020-07-08 10:23:12
"R",65,"TX",2020-07-08 10:23:14
"D",35,"TX",2020-07-08 10:23:14
"R",88,"UT",2020-07-08 10:23:16
"D",12,"UT",2020-07-08 10:23:16
"D",97,"VT",2020-07-08 10:23:34
"R",3,"VT",2020-07-08 10:23:34
"D",91,"VA",2020-07-08 10:23:36
"R",10,"VA",2020-07-08 10:23:36
"D",95,"WA",2020-07-08 10:23:38
"R",6,"WA",2020-07-08 10:23:38
"R",94,"WV",2020-07-08 10:23:40
"D",8,"WV",2020-07-08 10:23:40
"D",69,"WI",2020-07-08 10:23:42
"R",33,"WI",2020-07-08 10:23:42
"R",95,"WY",2020-07-08 10:23:44
"D",7,"WY",2020-07-08 10:23:44
"D",62,"USA",2020-07-08 10:23:46
"R",40,"USA",2020-07-08 10:23:46
"L",2,"USA",2020-07-08 10:23:46
"G",2,"USA",2020-07-08 10:23:46
