"party","price","state","time"
"R",92,"AL",2020-07-06 17:08:10
"D",10,"AL",2020-07-06 17:08:10
"R",83,"AK",2020-07-06 17:08:12
"D",17,"AK",2020-07-06 17:08:12
"D",63,"AZ",2020-07-06 17:08:14
"R",38,"AZ",2020-07-06 17:08:14
"R",90,"AR",2020-07-06 17:08:16
"D",12,"AR",2020-07-06 17:08:16
"D",97,"CA",2020-07-06 17:08:18
"R",6,"CA",2020-07-06 17:08:18
"D",91,"CO",2020-07-06 17:08:20
"R",10,"CO",2020-07-06 17:08:20
"D",93,"CT",2020-07-06 17:08:22
"R",7,"CT",2020-07-06 17:08:22
"D",96,"DE",2020-07-06 17:08:24
"R",4,"DE",2020-07-06 17:08:24
"D",99,"DC",2020-07-06 17:08:25
"R",2,"DC",2020-07-06 17:08:25
"D",59,"FL",2020-07-06 17:08:28
"R",43,"FL",2020-07-06 17:08:28
"R",56,"GA",2020-07-06 17:08:30
"D",47,"GA",2020-07-06 17:08:30
"D",97,"HI",2020-07-06 17:08:32
"R",5,"HI",2020-07-06 17:08:32
"R",94,"ID",2020-07-06 17:08:34
"D",10,"ID",2020-07-06 17:08:34
"D",96,"IL",2020-07-06 17:08:36
"R",6,"IL",2020-07-06 17:08:36
"R",83,"IN",2020-07-06 17:08:38
"D",18,"IN",2020-07-06 17:08:38
"R",61,"IA",2020-07-06 17:08:40
"D",43,"IA",2020-07-06 17:08:40
"R",85,"KS",2020-07-06 17:08:42
"D",16,"KS",2020-07-06 17:08:42
"R",91,"KY",2020-07-06 17:08:44
"D",10,"KY",2020-07-06 17:08:44
"R",89,"LA",2020-07-06 17:08:46
"D",12,"LA",2020-07-06 17:08:46
"D",86,"ME",2020-07-06 17:08:48
"R",13,"ME",2020-07-06 17:08:48
"D",95,"ME-01",2020-07-06 17:08:50
"R",5,"ME-01",2020-07-06 17:08:50
"R",64,"ME-02",2020-07-06 17:08:52
"D",36,"ME-02",2020-07-06 17:08:52
"D",95,"MD",2020-07-06 17:08:54
"R",5,"MD",2020-07-06 17:08:54
"D",95,"MA",2020-07-06 17:08:56
"R",4,"MA",2020-07-06 17:08:56
"D",74,"MI",2020-07-06 17:08:58
"R",26,"MI",2020-07-06 17:08:58
"D",81,"MN",2020-07-06 17:09:12
"R",21,"MN",2020-07-06 17:09:12
"R",90,"MS",2020-07-06 17:09:14
"D",10,"MS",2020-07-06 17:09:14
"R",81,"MO",2020-07-06 17:09:16
"D",19,"MO",2020-07-06 17:09:16
"R",84,"MT",2020-07-06 17:09:18
"D",16,"MT",2020-07-06 17:09:18
"R",93,"NE",2020-07-06 17:09:20
"D",7,"NE",2020-07-06 17:09:20
"R",94,"NE-01",2020-07-06 17:09:23
"D",7,"NE-01",2020-07-06 17:09:23
"D",66,"NE-02",2020-07-06 17:09:25
"R",31,"NE-02",2020-07-06 17:09:25
"R",97,"NE-03",2020-07-06 17:09:27
"D",4,"NE-03",2020-07-06 17:09:27
"D",84,"NV",2020-07-06 17:09:29
"R",16,"NV",2020-07-06 17:09:29
"D",76,"NH",2020-07-06 17:09:31
"R",26,"NH",2020-07-06 17:09:31
"D",94,"NJ",2020-07-06 17:09:33
"R",7,"NJ",2020-07-06 17:09:33
"D",91,"NM",2020-07-06 17:09:35
"R",10,"NM",2020-07-06 17:09:35
"D",97,"NY",2020-07-06 17:09:37
"R",4,"NY",2020-07-06 17:09:37
"D",57,"NC",2020-07-06 17:09:39
"R",44,"NC",2020-07-06 17:09:39
"R",94,"ND",2020-07-06 17:09:41
"D",7,"ND",2020-07-06 17:09:41
"R",57,"OH",2020-07-06 17:09:43
"D",45,"OH",2020-07-06 17:09:43
"R",93,"OK",2020-07-06 17:09:45
"D",8,"OK",2020-07-06 17:09:45
"D",95,"OR",2020-07-06 17:09:48
"R",5,"OR",2020-07-06 17:09:48
"D",71,"PA",2020-07-06 17:09:50
"R",32,"PA",2020-07-06 17:09:50
"D",96,"RI",2020-07-06 17:09:52
"R",5,"RI",2020-07-06 17:09:52
"R",84,"SC",2020-07-06 17:09:55
"D",18,"SC",2020-07-06 17:09:55
"R",93,"SD",2020-07-06 17:09:57
"D",8,"SD",2020-07-06 17:09:57
"R",91,"TN",2020-07-06 17:09:58
"D",10,"TN",2020-07-06 17:09:58
"R",68,"TX",2020-07-06 17:10:01
"D",34,"TX",2020-07-06 17:10:01
"R",88,"UT",2020-07-06 17:10:02
"D",14,"UT",2020-07-06 17:10:02
"D",97,"VT",2020-07-06 17:10:11
"R",3,"VT",2020-07-06 17:10:11
"D",91,"VA",2020-07-06 17:10:13
"R",11,"VA",2020-07-06 17:10:13
"D",95,"WA",2020-07-06 17:10:16
"R",6,"WA",2020-07-06 17:10:16
"R",95,"WV",2020-07-06 17:10:18
"D",7,"WV",2020-07-06 17:10:18
"D",69,"WI",2020-07-06 17:10:20
"R",33,"WI",2020-07-06 17:10:20
"R",95,"WY",2020-07-06 17:10:23
"D",5,"WY",2020-07-06 17:10:23
